Epoch, Step, Loss, Lr, Time
21, 2101, 2.7695, 0.000984, 1022.36
21, 2201, 2.8831, 0.000984, 1069.44
21, 2301, 2.7777, 0.000984, 1119.16
21, 2401, 2.9218, 0.000984, 1166.70
21, 2501, 2.8596, 0.000983, 1215.89
22, 1, 2.7821, 0.000983, 4.34
22, 101, 2.7456, 0.000983, 53.60
22, 201, 2.5739, 0.000983, 103.13
22, 301, 2.7932, 0.000983, 150.85
22, 401, 2.6478, 0.000983, 201.03
22, 501, 2.7397, 0.000983, 249.25
22, 601, 2.8312, 0.000983, 299.70
22, 701, 2.7731, 0.000983, 347.59
22, 801, 2.8816, 0.000983, 397.33
22, 901, 2.7167, 0.000983, 444.70
22, 1001, 2.8845, 0.000983, 495.48
22, 1101, 2.7270, 0.000983, 543.18
22, 1201, 2.7428, 0.000982, 593.93
22, 1301, 2.8919, 0.000982, 642.22
22, 1401, 2.6593, 0.000982, 691.78
22, 1501, 2.6986, 0.000982, 740.75
22, 1601, 2.6846, 0.000982, 790.52
22, 1701, 2.8102, 0.000982, 839.53
22, 1801, 2.8367, 0.000982, 888.48
22, 1901, 2.5980, 0.000982, 938.22
22, 2001, 2.7777, 0.000982, 987.17
22, 2101, 2.7817, 0.000982, 1037.95
22, 2201, 2.9149, 0.000982, 1086.61
22, 2301, 2.6558, 0.000982, 1136.94
22, 2401, 2.9742, 0.000981, 1184.79
22, 2501, 2.6768, 0.000981, 1235.26
23, 1, 2.6837, 0.000981, 4.26
23, 101, 2.9134, 0.000981, 53.59
23, 201, 2.6544, 0.000981, 103.89
23, 301, 2.8079, 0.000981, 152.17
23, 401, 2.8944, 0.000981, 201.82
23, 501, 2.7550, 0.000981, 250.03
23, 601, 2.8528, 0.000981, 299.90
23, 701, 2.7785, 0.000981, 348.17
23, 801, 2.6906, 0.000981, 399.09
23, 901, 2.8566, 0.000981, 447.53
23, 1001, 2.8972, 0.000980, 498.20
23, 1101, 2.7536, 0.000980, 545.85
23, 1201, 2.7914, 0.000980, 596.52
23, 1301, 2.7629, 0.000980, 645.21
23, 1401, 2.7136, 0.000980, 695.72
23, 1501, 2.8887, 0.000980, 743.44
23, 1601, 2.8236, 0.000980, 794.18
23, 1701, 2.7270, 0.000980, 842.29
23, 1801, 2.6636, 0.000980, 891.55
23, 1901, 2.6299, 0.000980, 939.16
23, 2001, 2.7874, 0.000980, 989.36
23, 2101, 2.8010, 0.000979, 1037.45
23, 2201, 2.8480, 0.000979, 1086.86
23, 2301, 2.8436, 0.000979, 1135.19
23, 2401, 2.7446, 0.000979, 1184.47
23, 2501, 2.7118, 0.000979, 1232.66
24, 1, 2.8628, 0.000979, 5.46
24, 101, 2.6186, 0.000979, 53.09
24, 201, 2.9197, 0.000979, 102.70
24, 301, 2.5765, 0.000979, 151.44
24, 401, 2.6610, 0.000979, 200.31
24, 501, 2.7413, 0.000979, 248.98
24, 601, 2.8638, 0.000979, 297.87
24, 701, 2.7709, 0.000978, 346.05
24, 801, 2.6273, 0.000978, 396.22
24, 901, 2.7649, 0.000978, 444.56
24, 1001, 2.6484, 0.000978, 495.84
